==============================================================================================================================================================
idle: 1800 S.  stree: 3600 S.  idle2: 1800 S.  logfile: /home/root/robe/stress.log.  processes: 6.
==============================================================================================================================================================
2021-03-07 21:58:55 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 24.32 C.  PL temperature: 25.82 C.
2021-03-07 21:59:00 +0800  %Cpu(s):  1.5 us,  2.9 sy,  0.0 ni, 95.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.83 C.  PL temperature: 25.61 C.
2021-03-07 21:59:05 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.09 C.  PL temperature: 26.06 C.
2021-03-07 21:59:10 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.56 C.  PL temperature: 24.31 C.
2021-03-07 21:59:15 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 25.92 C.  PL temperature: 25.91 C.
2021-03-07 21:59:21 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.40 C.  PL temperature: 24.76 C.
2021-03-07 21:59:26 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.46 C.  PL temperature: 24.96 C.
2021-03-07 21:59:31 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.09 C.  PL temperature: 25.13 C.
2021-03-07 21:59:36 +0800  %Cpu(s):  3.0 us,  0.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.30 C.  PL temperature: 25.71 C.
2021-03-07 21:59:41 +0800  %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.08 C.  PL temperature: 25.57 C.
2021-03-07 21:59:47 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.46 C.  PL temperature: 25.97 C.
2021-03-07 21:59:52 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.20 C.  PL temperature: 25.26 C.
2021-03-07 21:59:57 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.83 C.  PL temperature: 25.47 C.
2021-03-07 22:00:02 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 29.02 C.  PL temperature: 25.43 C.
2021-03-07 22:00:07 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 29.20 C.  PL temperature: 25.92 C.
2021-03-07 22:00:13 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.37 C.  PL temperature: 27.03 C.
2021-03-07 22:00:18 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.66 C.  PL temperature: 26.83 C.
2021-03-07 22:00:23 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.53 C.  PL temperature: 26.66 C.
2021-03-07 22:00:28 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.12 C.  PL temperature: 25.58 C.
2021-03-07 22:00:33 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.40 C.  PL temperature: 26.27 C.
2021-03-07 22:00:39 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.79 C.  PL temperature: 26.28 C.
2021-03-07 22:00:44 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.69 C.  PL temperature: 25.69 C.
2021-03-07 22:00:49 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.47 C.  PL temperature: 26.14 C.
2021-03-07 22:00:54 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.12 C.  PL temperature: 25.26 C.
2021-03-07 22:00:59 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.92 C.  PL temperature: 27.43 C.
2021-03-07 22:01:05 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.32 C.  PL temperature: 26.78 C.
2021-03-07 22:01:10 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.33 C.  PL temperature: 25.46 C.
2021-03-07 22:01:15 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.76 C.  PL temperature: 26.70 C.
2021-03-07 22:01:20 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 26.62 C.  PL temperature: 26.61 C.
2021-03-07 22:01:25 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 29.42 C.  PL temperature: 25.75 C.
2021-03-07 22:01:31 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.29 C.  PL temperature: 26.83 C.
2021-03-07 22:01:36 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.89 C.  PL temperature: 25.91 C.
2021-03-07 22:01:41 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.82 C.  PL temperature: 27.09 C.
2021-03-07 22:01:46 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 29.70 C.  PL temperature: 27.34 C.
2021-03-07 22:01:51 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.79 C.  PL temperature: 26.70 C.
2021-03-07 22:01:57 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 28.16 C.  PL temperature: 26.34 C.
2021-03-07 22:02:02 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.98 C.  PL temperature: 26.59 C.
2021-03-07 22:02:07 +0800  %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 27.43 C.  PL temperature: 28.09 C.
